x y
297.35221499532497 792.2481915044162
797.6366284706097 1393.570322656497
1297.0006080422447 1495.7907586526865
903.4940276132477 474.0376542062581
906.0273414542897 505.9631779842567
906.0150951006742 502.21806404062494
710.0954373620539 1196.850217115327
1287.529340421491 1502.9671587612968
799.1908657562406 1407.4756295150792
309.6120425667479 786.7574843642755
294.99207476472884 799.127771583079
291.62658055055056 787.8163775267019
900.437520862961 505.27234872606044
817.8560260168636 1382.875569223616
1297.834195853131 1503.4694465675389
315.4605393040548 805.1308305774464
708.119743613717 1195.8909833002047
789.4112780784113 1394.6783887985923
1298.5506212609966 1501.5301640581688
682.9874618921792 1183.9859751440954
879.5927817772505 500.3933753917781
310.7826628699955 799.148303760104
702.8201675931188 1204.4838242986032
913.1102965604676 512.8691851456126
802.5790356284581 1406.2852888755947
698.8758726689515 1219.8965078147392
899.5410722392892 500.76907818151665
1299.1312982884863 1499.7028732906406
296.5990618629465 799.2938049221244
1307.152894644416 1498.0332441411117
798.6858411031449 1412.9334762249055
890.6189255554268 514.1154343444471
798.1973226602973 1416.1369482166672
1307.9598954546009 1511.9649660712316
690.7778806386475 1198.9162323200171
817.4102015132697 1383.916434996411
1301.8249490329722 1501.151838794712
305.60224991806797 810.8001629592001
894.4361564473068 483.11073325736476
1321.3113342139368 1503.6816092812528
1286.4201292872685 1499.266685673058
687.9138356463117 1182.6817138612691
294.25016350724553 805.1069642276093
684.2330853491334 1209.794841935726
823.4219708931582 1396.8019066820245
895.890636345681 520.510246424051
699.8451269187454 1191.8686976804213
696.4285027632825 1206.57768869946
314.80102325261674 807.8099221572809
803.9169393827023 1409.5293608613767
